especie,ultimo,variacion,anterior,apertura,minimo,maximo,varMTD,varYTD,var6M,var12M,fecha,hora,cierre,timestamp,volumen
DOLAR MEP,36.97,,,36.97,36.97,36.97,,,,,2018-10-29,,36.97,1540782000,0
DOLAR MEP,36.63,0,0,36.63,36.63,36.63,,,,,2018-10-30,19:59,36.63,1540868400,0
DOLAR MEP,35.93,0,0,35.93,35.93,35.93,,,,,2018-10-31,19:59,35.93,1540954800,0
DOLAR MEP,35.89,0,0,35.89,35.89,35.89,,,,,2018-11-01,19:59,35.89,1541041200,0
DOLAR MEP,35.66,0,0,35.66,35.66,35.66,,,,,2018-11-02,19:59,35.66,1541127600,0
DOLAR MEP,35.66,0,0,35.66,35.66,35.66,,,,,2018-11-03,19:59,35.66,1541214000,0
DOLAR MEP,35.66,0,0,35.66,35.66,35.66,,,,,2018-11-04,19:59,35.66,1541300400,0
DOLAR MEP,35.79,0,0,35.79,35.79,35.79,,,,,2018-11-05,19:59,35.79,1541386800,0
DOLAR MEP,35.65,0,0,35.65,35.65,35.65,,,,,2018-11-06,19:59,35.65,1541473200,0
DOLAR MEP,35.76,0,0,35.76,35.76,35.76,,,,,2018-11-07,19:59,35.76,1541559600,0
DOLAR MEP,35.78,0,0,35.78,35.78,35.78,,,,,2018-11-08,19:59,35.78,1541646000,0
DOLAR MEP,35.55,0,0,35.55,35.55,35.55,,,,,2018-11-09,19:59,35.55,1541732400,0
DOLAR MEP,35.55,0,0,35.55,35.55,35.55,,,,,2018-11-10,19:59,35.55,1541818800,0
DOLAR MEP,35.55,0,0,35.55,35.55,35.55,,,,,2018-11-11,19:59,35.55,1541905200,0
DOLAR MEP,35.55,0,0,35.55,35.55,35.55,,,,,2018-11-12,19:59,35.55,1541991600,0
DOLAR MEP,35.99,0,0,35.99,35.99,35.99,,,,,2018-11-13,19:59,35.99,1542078000,0
DOLAR MEP,36.06,0,0,36.06,36.06,36.06,,,,,2018-11-14,19:59,36.06,1542164400,0
DOLAR MEP,36.3,0,0,36.3,36.3,36.3,,,,,2018-11-15,19:59,36.3,1542250800,0
DOLAR MEP,36.15,0,0,36.15,36.15,36.15,,,,,2018-11-16,19:59,36.15,1542337200,0
DOLAR MEP,36.15,0,0,36.15,36.15,36.15,,,,,2018-11-17,19:59,36.15,1542423600,0
DOLAR MEP,36.15,0,0,36.15,36.15,36.15,,,,,2018-11-18,19:59,36.15,1542510000,0
DOLAR MEP,36.15,0,0,36.15,36.15,36.15,,,,,2018-11-19,19:59,36.15,1542596400,0
DOLAR MEP,36.25,0,0,36.25,36.25,36.25,,,,,2018-11-20,19:59,36.25,1542682800,0
DOLAR MEP,36.43,0,0,36.43,36.43,36.43,,,,,2018-11-21,19:59,36.43,1542769200,0
DOLAR MEP,36.49,0,0,36.49,36.49,36.49,,,,,2018-11-22,19:59,36.49,1542855600,0
DOLAR MEP,37.81,0,0,37.81,37.81,37.81,,,,,2018-11-23,19:59,37.81,1542942000,0
DOLAR MEP,37.81,0,0,37.81,37.81,37.81,,,,,2018-11-24,19:59,37.81,1543028400,0
DOLAR MEP,37.81,0,0,37.81,37.81,37.81,,,,,2018-11-25,19:59,37.81,1543114800,0
DOLAR MEP,39.17,0,0,39.17,39.17,39.17,,,,,2018-11-26,19:59,39.17,1543201200,0
DOLAR MEP,38.67,0,0,38.67,38.67,38.67,,,,,2018-11-27,19:59,38.67,1543287600,0
DOLAR MEP,38.62,0,0,38.62,38.62,38.62,,,,,2018-11-28,19:59,38.62,1543374000,0
DOLAR MEP,37.68,0,0,37.68,37.68,37.68,,,,,2018-11-29,19:59,37.68,1543460400,0
DOLAR MEP,37.68,0,0,37.68,37.68,37.68,,,,,2018-11-30,19:59,37.68,1543546800,0
DOLAR MEP,37.68,0,0,37.68,37.68,37.68,,,,,2018-12-01,19:59,37.68,1543633200,0
DOLAR MEP,37.68,0,0,37.68,37.68,37.68,,,,,2018-12-02,19:59,37.68,1543719600,0
DOLAR MEP,36.67,0,0,36.67,36.67,36.67,,,,,2018-12-03,19:59,36.67,1543806000,0
DOLAR MEP,37.48,0,0,37.48,37.48,37.48,,,,,2018-12-04,19:59,37.48,1543892400,0
DOLAR MEP,37.57,0,0,37.57,37.57,37.57,,,,,2018-12-05,19:59,37.57,1543978800,0
DOLAR MEP,37.88,0,0,37.88,37.88,37.88,,,,,2018-12-06,19:59,37.88,1544065200,0
DOLAR MEP,37.62,-0.7,37.88,37.62,37.62,37.62,,,,,2018-12-07,19:59,37.62,1544151600,0
DOLAR MEP,37.62,0,37.62,37.62,37.62,37.62,,,,,2018-12-08,19:59,37.62,1544238000,0
DOLAR MEP,37.62,0,37.62,37.62,37.62,37.62,,,,,2018-12-09,19:59,37.62,1544324400,0
DOLAR MEP,37.83,0.6,37.62,37.83,37.83,37.83,,,,,2018-12-10,19:59,37.83,1544410800,0
DOLAR MEP,37.71,-0.3,37.83,37.71,37.71,37.71,,,,,2018-12-11,19:59,37.71,1544497200,0
DOLAR MEP,37.75,0.1,37.71,37.75,37.75,37.75,,,,,2018-12-12,19:59,37.75,1544583600,0
DOLAR MEP,38.1,0.9,37.75,38.1,38.1,38.1,,,,,2018-12-13,19:59,38.1,1544670000,0
DOLAR MEP,38.47,1,38.1,38.47,38.47,38.47,,,,,2018-12-14,19:59,38.47,1544756400,0
DOLAR MEP,38.47,0,38.47,38.47,38.47,38.47,,,,,2018-12-15,19:59,38.47,1544842800,0
DOLAR MEP,38.47,0,38.47,38.47,38.47,38.47,,,,,2018-12-16,19:59,38.47,1544929200,0
DOLAR MEP,38.53,0.2,38.47,38.53,38.53,38.53,,,,,2018-12-17,19:59,38.53,1545015600,0
DOLAR MEP,38.52,0,38.53,38.52,38.52,38.52,,,,,2018-12-18,19:59,38.52,1545102000,0
DOLAR MEP,38.58,0.2,38.52,38.58,38.58,38.58,,,,,2018-12-19,19:59,38.58,1545188400,0
DOLAR MEP,38.41,-0.4,38.58,38.41,38.41,38.41,,,,,2018-12-20,19:59,38.41,1545274800,0
DOLAR MEP,38.14,-0.7,38.41,38.14,38.14,38.14,,,,,2018-12-21,19:59,38.14,1545361200,0
DOLAR MEP,38.14,0,38.14,38.14,38.14,38.14,,,,,2018-12-22,19:59,38.14,1545447600,0
DOLAR MEP,38.14,0,38.14,38.14,38.14,38.14,,,,,2018-12-23,19:59,38.14,1545534000,0
DOLAR MEP,38.14,0,38.14,38.14,38.14,38.14,,,,,2018-12-24,19:59,38.14,1545620400,0
DOLAR MEP,38.14,0,38.14,38.14,38.14,38.14,,,,,2018-12-25,19:59,38.14,1545706800,0
DOLAR MEP,38.55,1.1,38.14,38.55,38.55,38.55,,,,,2018-12-26,19:59,38.55,1545793200,0
DOLAR MEP,38.68,0.3,38.55,38.68,38.68,38.68,,,,,2018-12-27,19:59,38.68,1545879600,0
DOLAR MEP,38.11,-1.5,38.68,38.11,38.11,38.11,,,,,2018-12-28,19:59,38.11,1545966000,0
DOLAR MEP,38.11,0,38.11,38.11,38.11,38.11,,,,,2018-12-29,19:59,38.11,1546052400,0
DOLAR MEP,38.11,0,38.11,38.11,38.11,38.11,,,,,2018-12-30,19:59,38.11,1546138800,0
DOLAR MEP,38.11,0,38.11,38.11,38.11,38.11,,,,,2018-12-31,19:59,38.11,1546225200,0
DOLAR MEP,38.11,0,38.11,38.11,38.11,38.11,,,,,2019-01-01,19:59,38.11,1546311600,0
DOLAR MEP,37.82,-0.8,38.11,37.82,37.82,37.82,,,,,2019-01-02,19:59,37.82,1546398000,0
DOLAR MEP,37.68,-0.4,37.82,37.68,37.68,37.68,,,,,2019-01-03,19:59,37.68,1546484400,0
DOLAR MEP,37.56,-0.3,37.68,37.56,37.56,37.56,,,,,2019-01-04,19:59,37.56,1546570800,0
DOLAR MEP,37.56,0,37.56,37.56,37.56,37.56,,,,,2019-01-05,19:59,37.56,1546657200,0
