indice_tiempo,reservas_internacionales_bcra_saldos,reservas_internacionales_bcra_prom_mensual_de_saldos_diarios,tipo_de_cambio_moneda_de_cada_momento,tipo_de_cambio_en_pesos_equivalentes,agregados_monetarios_en_pesos_bym_totales,agregados_monetarios_en_pesos_bym_en_circulacion,agregados_monetarios_en_pesos_bym_en_entidades,agregados_monetarios_en_pesos_bm,agregados_monetarios_en_pesos_m1,agregados_monetarios_en_pesos_m2,agregados_monetarios_en_pesos_m3,agregados_usd_m1,agregados_usd_m2,agregados_usd_m3,prestamos_totales_total,prestamos_totales_pesos,prestamos_totales_usd,prestamos_al_sector_privado_total,prestamos_al_sector_privado_pesos,prestamos_al_sector_privado_usd,prestamos_al_sector_publico_total,prestamos_al_sector_publico_pesos,prestamos_al_sector_publico_usd,depositos_totales_total,depositos_totales_pesos,depositos_totales_usd,depositos_al_sector_privado_total,depositos_al_sector_privado_pesos,depositos_al_sector_privado_usd,depositos_al_sector_publico_total,depositos_al_sector_publico_pesos,depositos_al_sector_publico_usd,tasa_interes_deposito_caja_de_ahorro_pesos,tasa_interes_deposito_caja_de_ahorro_usd,tasa_interes_deposito_plazo_fijo_30_59d_pesos,tasa_interes_deposito_plazo_fijo_30_59d_usd,tasa_interes_obligaciones_entidades_financieras_exterior,tasa_interes_prestamos_interfinancieros_hasta_15d_pesos,tasa_interes_prestamos_interfinancieros_hasta_15d_plazo_usd,tasa_interes_prestamos_empresas_primera_linea_30d_pesos,tasa_interes_prestamos_empresas_primera_linea_30d_plazo_usd,tasa_interes_adelantos_en_cc_sect_priv_no_financiero_pesos,tasa_interes_adelantos_en_cc_al_sect_priv_no_financiero_usd,tasa_interes_prestamos_hipot_sect_priv_5_10_anios_pesos,tasa_interes_prestamos_hipotecarios_sect_priv_5_10_anios_usd
1940-01-01,492.8,,4.3952,4.395200000000001e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,
1940-02-01,490.1,,4.3042,4.3042000000000005e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,
1940-03-01,495.4,,4.2805,4.280500000000001e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,
1940-04-01,494.9,,4.3514,4.3514000000000005e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,
1940-05-01,496.5,,4.4167,4.4167000000000003e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,
1940-06-01,491.4,,4.5497,4.5497e-13,1.4377e-10,1.0619000000000002e-10,3.758e-11,1.8384000000000003e-10,2.5469000000000003e-10,4.6022000000000004e-10,5.371200000000001e-10,,,,6.652e-10,6.6285e-10,2.3500000000000003e-12,4.7422e-10,4.7187e-10,2.3500000000000003e-12,1.9098000000000002e-10,1.9098000000000002e-10,,4.3093000000000003e-10,4.3093000000000003e-10,,4.1168e-10,4.1168e-10,,1.9250000000000005e-11,1.9250000000000005e-11,,,,2.39,,,,,,,,,,
1940-07-01,486.9,,4.6033,4.6033e-13,1.4363000000000003e-10,1.0513000000000002e-10,3.850000000000001e-11,1.8516000000000004e-10,2.5016000000000004e-10,4.561900000000001e-10,5.336500000000001e-10,,,,6.658800000000002e-10,6.634300000000002e-10,2.4500000000000003e-12,4.753900000000002e-10,4.729400000000001e-10,2.4500000000000003e-12,1.9049000000000003e-10,1.9049000000000003e-10,,4.2852000000000004e-10,4.2852000000000004e-10,,4.0852000000000005e-10,4.0852000000000005e-10,,2.0000000000000002e-11,2.0000000000000002e-11,,,,2.39,,,,,,,,,,
1940-08-01,483.3,,4.44,4.4400000000000013e-13,1.42e-10,1.0544000000000004e-10,3.656000000000001e-11,1.7996000000000004e-10,2.4620000000000004e-10,4.5225000000000007e-10,5.3189e-10,,,,6.657000000000001e-10,6.634800000000001e-10,2.2200000000000002e-12,4.762500000000001e-10,4.740300000000001e-10,2.2200000000000002e-12,1.8945000000000003e-10,1.8945000000000003e-10,,4.2645000000000006e-10,4.2645000000000006e-10,,4.0747000000000004e-10,4.0747000000000004e-10,,1.8980000000000005e-11,1.8980000000000005e-11,,,,2.39,,,,,,,,,,
1940-09-01,477.4,,4.3091,4.309100000000001e-13,1.3930000000000003e-10,1.0306e-10,3.624e-11,1.7579000000000002e-10,2.4388000000000004e-10,4.497000000000001e-10,5.2905e-10,,,,6.671000000000001e-10,6.653100000000001e-10,1.7900000000000002e-12,4.774e-10,4.756100000000001e-10,1.7900000000000002e-12,1.8970000000000003e-10,1.8970000000000003e-10,,4.2599000000000005e-10,4.2599000000000005e-10,,4.0705000000000006e-10,4.0705000000000006e-10,,1.894e-11,1.894e-11,,,,2.39,,,,,,,,,,
1940-10-01,471.3,,4.2654,4.2654e-13,1.3827e-10,1.0470000000000001e-10,3.3570000000000007e-11,1.7769e-10,2.4439e-10,4.496200000000001e-10,5.296700000000001e-10,,,,6.671200000000002e-10,6.652600000000001e-10,1.86e-12,4.762400000000001e-10,4.743800000000001e-10,1.86e-12,1.9088000000000004e-10,1.9088000000000004e-10,,4.249700000000001e-10,4.249700000000001e-10,,4.0520000000000006e-10,4.0520000000000006e-10,,1.9770000000000003e-11,1.9770000000000003e-11,,,,2.39,,,,,,,,,,
